w	EQE	w	EQE
	PBDB-T:F-M 190nm		PBDB-TF-T1:BTP-4F-12 180nm
600	68.84244	600	76.70808
601	68.702796	601	76.609692
602	68.563152	602	76.511304
603	68.423508	603	76.412916
604	68.283864	604	76.314528
605	68.14422	605	76.21614
606	68.004576	606	76.117752
607	67.864932	607	76.019364
608	67.725288	608	75.920976
609	67.585644	609	75.822588
610	67.446	610	75.7242
611	67.36986	611	75.643956
612	67.29372	612	75.563712
613	67.21758	613	75.483468
614	67.14144	614	75.403224
615	67.0653	615	75.32298
616	66.98916	616	75.242736
617	66.91302	617	75.162492
618	66.83688	618	75.082248
619	66.76074	619	75.002004
620	66.6846	620	74.92176
621	66.623688	621	74.764512
622	66.562776	622	74.607264
623	66.501864	623	74.450016
624	66.440952	624	74.292768
625	66.38004	625	74.13552
626	66.319128	626	73.978272
627	66.258216	627	73.821024
628	66.197304	628	73.663776
629	66.136392	629	73.506528
630	66.07548	630	73.34928
631	66.051288	631	73.192788
632	66.027096	632	73.036296
633	66.002904	633	72.879804
634	65.978712	634	72.723312
635	65.95452	635	72.56682
636	65.930328	636	72.410328
637	65.906136	637	72.253836
638	65.881944	638	72.097344
639	65.857752	639	71.940852
640	65.83356	640	71.78436
641	65.680524	641	71.778474
642	65.527488	642	71.772588
643	65.374452	643	71.766702
644	65.221416	644	71.760816
645	65.06838	645	71.75493
646	64.915344	646	71.749044
647	64.762308	647	71.743158
648	64.609272	648	71.737272
649	64.456236	649	71.731386
650	64.3032	650	71.7255
651	64.246932	651	71.719614
652	64.190664	652	71.713728
653	64.134396	653	71.707842
654	64.078128	654	71.701956
655	64.02186	655	71.69607
656	63.965592	656	71.690184
657	63.909324	657	71.684298
658	63.853056	658	71.678412
659	63.796788	659	71.672526
660	63.74052	660	71.66664
661	63.700236	661	71.835336
662	63.659952	662	72.004032
663	63.619668	663	72.172728
664	63.579384	664	72.341424
665	63.5391	665	72.51012
666	63.498816	666	72.678816
667	63.458532	667	72.847512
668	63.418248	668	73.016208
669	63.377964	669	73.184904
670	63.33768	670	73.3536
671	63.274608	671	73.63872
672	63.211536	672	73.92384
673	63.148464	673	74.20896
674	63.085392	674	74.49408
675	63.02232	675	74.7792
676	62.959248	676	75.06432
677	62.896176	677	75.34944
678	62.833104	678	75.63456
679	62.770032	679	75.91968
680	62.70696	680	76.2048
681	62.59302	681	76.433328
682	62.47908	682	76.661856
683	62.36514	683	76.890384
684	62.2512	684	77.118912
685	62.13726	685	77.34744
686	62.02332	686	77.575968
687	61.90938	687	77.804496
688	61.79544	688	78.033024
689	61.6815	689	78.261552
690	61.56756	690	78.49008
691	61.149492	691	78.646572
692	60.731424	692	78.803064
693	60.313356	693	78.959556
694	59.895288	694	79.116048
695	59.47722	695	79.27254
696	59.059152	696	79.429032
697	58.641084	697	79.585524
698	58.223016	698	79.742016
699	57.804948	699	79.898508
700	57.38688	700	80.055
701	56.273832	701	80.105004
702	55.160784	702	80.155008
703	54.047736	703	80.205012
704	52.934688	704	80.255016
705	51.82164	705	80.30502
706	50.708592	706	80.355024
707	49.595544	707	80.405028
708	48.482496	708	80.455032
709	47.369448	709	80.505036
710	46.2564	710	80.55504
711	44.451828	711	80.57016
712	42.647256	712	80.58528
713	40.842684	713	80.6004
714	39.038112	714	80.61552
715	37.23354	715	80.63064
716	35.428968	716	80.64576
717	33.624396	717	80.66088
718	31.819824	718	80.676
719	30.015252	719	80.69112
720	28.21068	720	80.70624
721	26.69436	721	80.632152
722	25.17804	722	80.558064
723	23.66172	723	80.483976
724	22.1454	724	80.409888
725	20.62908	725	80.3358
726	19.11276	726	80.261712
727	17.59644	727	80.187624
728	16.08012	728	80.113536
729	14.5638	729	80.039448
730	13.04748	730	79.96536
731	12.2848056	731	79.919244
732	11.5221312	732	79.873128
733	10.7594568	733	79.827012
734	9.9967824	734	79.780896
735	9.234108	735	79.73478
736	8.4714336	736	79.688664
737	7.7087592	737	79.642548
738	6.9460848	738	79.596432
739	6.1834104	739	79.550316
740	5.420736	740	79.5042
741	5.097708	741	79.476012
742	4.77468	742	79.447824
743	4.451652	743	79.419636
744	4.128624	744	79.391448
745	3.805596	745	79.36326
746	3.482568	746	79.335072
747	3.15954	747	79.306884
748	2.836512	748	79.278696
749	2.513484	749	79.250508
750	2.190456	750	79.22232
751	2.06112816	751	79.203528
752	1.93180032	752	79.184736
753	1.80247248	753	79.165944
754	1.67314464	754	79.147152
755	1.5438168	755	79.12836
756	1.41448896	756	79.109568
757	1.28516112	757	79.090776
758	1.15583328	758	79.071984
759	1.02650544	759	79.053192
760	0.8971776	760	79.0344
761	0.86670324	761	78.984396
762	0.83622888	762	78.934392
763	0.80575452	763	78.884388
764	0.77528016	764	78.834384
765	0.7448058	765	78.78438
766	0.71433144	766	78.734376
767	0.68385708	767	78.684372
768	0.65338272	768	78.634368
769	0.62290836	769	78.584364
770	0.592434	770	78.53436
771	0.5508648	771	78.47388
772	0.5092956	772	78.4134
773	0.4677264	773	78.35292
774	0.4261572	774	78.29244
775	0.384588	775	78.23196
776	0.3430188	776	78.17148
777	0.3014496	777	78.111
778	0.2598804	778	78.05052
779	0.2183112	779	77.99004
780	0.176742	780	77.92956
781	0.164943216	781	77.809248
782	0.153144432	782	77.688936
783	0.141345648	783	77.568624
784	0.129546864	784	77.448312
785	0.11774808	785	77.328
786	0.105949296	786	77.207688
787	0.094150512	787	77.087376
788	0.082351728	788	76.967064
789	0.070552944	789	76.846752
790	0.05875416	790	76.72644
791	0.05874552	791	76.611636
792	0.05873688	792	76.496832
793	0.05872824	793	76.382028
794	0.0587196	794	76.267224
795	0.05871096	795	76.15242
796	0.05870232	796	76.037616
797	0.05869368	797	75.922812
798	0.05868504	798	75.808008
