wavelength,Quantum efficiency,normalized QE,inflection point
nm,[%],[ ],nm
PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm
383,44.085384,0.596344777209642,712.6
383.5,43.913448,0.594018991964938,712.6
384,43.741512,0.591693206720234,712.6
384.5,43.569576,0.58936742147553,712.6
385,43.39764,0.587041636230826,712.6
385.5,43.225704,0.584715850986121,712.6
386,43.053768,0.582390065741417,712.6
386.5,42.881832,0.580064280496713,712.6
387,42.709896,0.577738495252009,712.6
387.5,42.53796,0.575412710007305,712.6
388,42.366024,0.5730869247626,712.6
388.5,42.194088,0.570761139517896,712.6
389,42.022152,0.568435354273192,712.6
389.5,41.850216,0.566109569028488,712.6
390,41.67828,0.563783783783784,712.6
390.5,41.63211,0.563159240321402,712.6
391,41.58594,0.562534696859021,712.6
391.5,41.53977,0.56191015339664,712.6
392,41.4936,0.561285609934259,712.6
392.5,41.44743,0.560661066471877,712.6
393,41.40126,0.560036523009496,712.6
393.5,41.35509,0.559411979547115,712.6
394,41.30892,0.558787436084733,712.6
394.5,41.26275,0.558162892622352,712.6
395,41.21658,0.557538349159971,712.6
395.5,41.17041,0.556913805697589,712.6
396,41.12424,0.556289262235208,712.6
396.5,41.07807,0.555664718772827,712.6
397,41.0319,0.555040175310446,712.6
397.5,40.98573,0.554415631848064,712.6
398,40.93956,0.553791088385683,712.6
398.5,40.89339,0.553166544923302,712.6
399,40.84722,0.55254200146092,712.6
399.5,40.80105,0.551917457998539,712.6
400,40.75488,0.551292914536158,712.6
401,40.79592,0.551848064280497,712.6
402,40.83696,0.552403214024836,712.6
403,40.878,0.552958363769175,712.6
404,40.91904,0.553513513513514,712.6
405,40.96008,0.554068663257852,712.6
406,41.00112,0.554623813002191,712.6
407,41.04216,0.55517896274653,712.6
408,41.0832,0.555734112490869,712.6
409,41.12424,0.556289262235208,712.6
410,41.16528,0.556844411979547,712.6
411,41.379876,0.559747260774288,712.6
412,41.594472,0.562650109569029,712.6
413,41.809068,0.565552958363769,712.6
414,42.023664,0.56845580715851,712.6
415,42.23826,0.57135865595325,712.6
416,42.452856,0.574261504747991,712.6
417,42.667452,0.577164353542732,712.6
418,42.882048,0.580067202337473,712.6
419,43.096644,0.582970051132213,712.6
420,43.31124,0.585872899926954,712.6
421,43.611912,0.589940102264427,712.6
422,43.912584,0.594007304601899,712.6
423,44.213256,0.598074506939372,712.6
424,44.513928,0.602141709276844,712.6
425,44.8146,0.606208911614317,712.6
426,45.115272,0.610276113951789,712.6
427,45.415944,0.614343316289262,712.6
428,45.716616,0.618410518626735,712.6
429,46.017288,0.622477720964207,712.6
430,46.31796,0.62654492330168,712.6
431,46.564848,0.629884587289993,712.6
432,46.811736,0.633224251278305,712.6
433,47.058624,0.636563915266618,712.6
434,47.305512,0.639903579254931,712.6
435,47.5524,0.643243243243243,712.6
436,47.799288,0.646582907231556,712.6
437,48.046176,0.649922571219869,712.6
438,48.293064,0.653262235208181,712.6
439,48.539952,0.656601899196494,712.6
440,48.78684,0.659941563184806,712.6
441,49.042368,0.663398100803506,712.6
442,49.297896,0.666854638422206,712.6
443,49.553424,0.670311176040906,712.6
444,49.808952,0.673767713659605,712.6
445,50.06448,0.677224251278305,712.6
446,50.320008,0.680680788897005,712.6
447,50.575536,0.684137326515705,712.6
448,50.831064,0.687593864134405,712.6
449,51.086592,0.691050401753105,712.6
450,51.34212,0.694506939371804,712.6
451,51.622704,0.698302410518627,712.6
452,51.903288,0.702097881665449,712.6
453,52.183872,0.705893352812272,712.6
454,52.464456,0.709688823959094,712.6
455,52.74504,0.713484295105917,712.6
456,53.025624,0.717279766252739,712.6
457,53.306208,0.721075237399562,712.6
458,53.586792,0.724870708546384,712.6
459,53.867376,0.728666179693207,712.6
460,54.14796,0.732461650840029,712.6
461,54.36126,0.735346968590212,712.6
462,54.57456,0.738232286340394,712.6
463,54.78786,0.741117604090577,712.6
464,55.00116,0.74400292184076,712.6
465,55.21446,0.746888239590942,712.6
