w	LED 2700 K Cui	w	LED 6500 K Cui
446.529	0.373389309619131		
446.896	0.372179000719936		
447.263	0.373102056563612		
447.63	0.369401419919497		
447.997	0.368840134660386		
448.364	0.365436366236829		
448.731	0.36203980918705		
449.098	0.356755074102875		
449.465	0.354785167165654		
449.832	0.349923499343164		
450.199	0.345656769857419		
450.566	0.337155762067934		
450.932	0.331181138892261		
451.299	0.324795467411201		
451.666	0.317311263324515		
452.032	0.312212822062958		
452.399	0.303186585883255		
452.766	0.293584641696884		
453.132	0.284194231141356		
453.499	0.274647574153956		
453.865	0.266102096226168		
454.232	0.260420735584163		
454.598	0.252628846216252		
454.964	0.245260024110026		
455.331	0.238405613333349		
455.697	0.231827638551523		
456.063	0.225485235313136		
456.43	0.218123624580689		
456.796	0.212275200446144		
457.162	0.206825805660688		
457.528	0.202879982308096		
